From,Subject,Urgency,Deserve_Score,Reference
Naruto Uzumaki,Please make my enemies trip on Lego bricks.,HIGH,8.5,Naruto
Luffy,Meat! And help me find the One Piece!,high,9,One Piece
Light Yagami,"Grant me a world free of crime, shaped by my justice.",high,9.4,Death Note
Edward Elric,"Let me restore what I lost, even if it breaks me.",high,9.3,Fullmetal Alchemist
Tanjiro Kamado,Please heal Nezuko and give me strength to help others.,high,,Demon Slayer
Ichigo Kurosaki,"Give me power to protect everyone, even if it tears me apart.",HIGH,,Bleach
Sailor Moon,I pray for unlimited rice pudding. Amen.,high,7.5,Sailor Moon
Goku,Let me fight the strongest opponents in the universe!,HIGH,10,Dragon Ball
Levi Ackerman,No more tea shortages. And a clean death for my comrades.,high,,Attack on Titan
Spike Spiegel,Please let me forget the past… and find peace in the stars.,low,8.2,Cowboy Bebop
Edward Elric,"Let me restore what I lost, even if it breaks me.",high,8.7,Fullmetal Alchemist
Nezuko Kamado,(prays silently with a smile for her brother),high,,Demon Slayer
Rukia Kuchiki,Please let me find my place between two worlds.,High,8.2,Bleach
Nami,"Oops, forgot my prayer—please fill it in for me!",medium,8.5,One Piece
Shikamaru Nara,"God, can life be a little less troublesome?",high,seven,Naruto
Vash the Stampede,"Peace and love, without killing anyone.",HIGH,7,Trigun
Mikasa Ackerman,"Please let Eren be safe, wherever he runs.",,five,Attack on Titan
Kenshin Himura,"Grant me atonement, and a peaceful era without my blade.",high,5,Rurouni Kenshin
Gintoki Sakata,"More parfaits, more manga, fewer responsibilities.",,9.8,Gintama
Ash Ketchum,"Let me be the very best, like no one ever was!",high,8.4,Pokemon
All Might,Please grant me strength to inspire the next generation of heroes.,medium,10,My Hero Academia
Killua Zoldyck,Please let me escape my family’s grip and have more chocolate balls.,high,7.3,Hunter x Hunter
Rem,"Please let Subaru be happy, even if it isn’t with me.",,,Re:Zero
Saitama,Grant me the ability to find matching socks.,medium,7.1,One Punch Man
Yusuke Urameshi,Give me another shot at life… and snacks for Keiko.,LOW,7,Yu Yu Hakusho
Shoyo Hinata,Please let me jump higher than anyone else!,,9.3,Haikyuu
Holo,"Apples, good trade deals, and a journey that never ends.",LOW,,Spice and Wolf
Koro-sensei,May my students grow to surpass me.,high,9,Assassination Classroom
Megumin,Explosion magic every day! Nothing else!,high,five,KonoSuba
Rei Ayanami,Purpose. That’s all.,HIGH,7.2,Evangelion
Vegeta,Make me stronger than Kakarot… or at least make Kakarot weaker.,High,9,Dragon Ball
Mikoto Misaka,Please let me zap away problems without breaking the city again.,high,,Unknown
Shinji Ikari,Please let me be needed… without hurting anyone.,HIGH,,Evangelion
Inuyasha,"Let me protect Kagome… and maybe ramen, too.",HIGH,8,Inuyasha
Kagome Higurashi,Please let me balance modern life and feudal era battles.,HIGH,seven,Inuyasha
Rintarou Okabe,"Grant me the power to nap anywhere, anytime.",High,6.5,Steins;Gate
Homura Akemi,Give me another chance to protect Madoka.,medium,7.8,Unknown
Ryuk,"More apples, please! That’s all.",high,5,Death Note
Kaname Madoka,Please save everyone… even if it costs me everything.,HIGH,,Unknown
Sango,"Protect my brother, and keep my friends safe.",high,9.7,Inuyasha
Byakuya Kuchiki,"Grant me composure to uphold honor, even if my heart breaks.",high,9,Bleach
Sanosuke Sagara,May my snacks never run out during anime marathons.,high,8.3,Rurouni Kenshin
Hiei,Strength. Nothing else. Maybe… trust.,high,,Yu Yu Hakusho
Riza Hawkeye,Keep Colonel Mustang alive and focused.,medium,,Unknown
Gowther,Please help me understand what ‘heart’ truly means.,high,8.2,The Seven Deadly Sins
Yuno Gasai,"Yuki, Yuki, Yuki—forever with Yuki!",high,8,Future Diary
Shiro,Let me win every game with Sora by my side.,low,8.1,No Game No Life
Kamina,Let my hair stay perfect even in battle.,high,7.6,Gurren Lagann
Erza Scarlet,"Grant me armor unbreakable, spirit unshakable.",HIGH,9.5,Fairy Tail
Brook,Yohohoho! Please let me see Laboon again.,High,6,One Piece
Rengoku Kyojuro,Grant me the ability to find matching socks.,medium,8.9,Demon Slayer
Shoto Todoroki,Please help me balance fire and ice without hating myself.,medium,,My Hero Academia
Alluka Zoldyck,Let me grant wishes without hurting anyone.,HIGH,,Hunter x Hunter
Nanami Kento,Let me finish work at 6 sharp and keep my students safe.,medium,8.7,Jujutsu Kaisen
Sailor Mars,Please grant me fire and patience.,low,7.4,Sailor Moon
Trafalgar Law,Let me find the true history and free my people.,HIGH,8,One Piece
Misato Katsuragi,Bless me with enough beer to deal with these kids.,medium,9.3,Evangelion
Kurapika,"Let me avenge my clan, but keep my friends safe.",HIGH,8.1,Hunter x Hunter
Asuka Langley,May I never be second place again.,HIGH,8.4,Evangelion
Chopper,"Let me cure every disease in the world. Also, cotton candy every day!",HIGH,9.5,One Piece
Nagisa Shiota,"Oops, forgot my prayer—please fill it in for me!",LOW,five,Assassination Classroom
Kenshiro,Please grant me strength to protect the weak.,medium,9,Fist of the North Star
Giorno Giovanna,Grant me the resolve to realize my golden dream.,medium,,JoJo's Bizarre Adventure
Joseph Joestar,Give me quick wit to survive bizarre adventures.,high,7.6,JoJo's Bizarre Adventure
Dio Brando,The world itself should bow before me!,low,,JoJo's Bizarre Adventure
Okabe Rintarou,El Psy Kongroo… let my timelines be stable.,High,7,Steins;Gate
Kilala,Please give me more fish and cozy naps.,,unknown,Inuyasha
Touka Kirishima,Let me protect Anteiku and the ones I love.,High,9.8,Tokyo Ghoul
Kaneki Ken,Please let me live without hurting others… even as a ghoul.,high,seven,Tokyo Ghoul
Bulma,Just give me new inventions that actually work on the first try!,High,6.5,Dragon Ball
Alphonse Elric,"Please give Brother back his body, and let cats follow me home forever.",medium,9.7,Fullmetal Alchemist
Kuwabara Kazuma,Let me protect my friends with honor and guts.,high,7.5,Yu Yu Hakusho
Shanks,Keep Luffy safe on his journey and let me see him again one day.,High,,One Piece
Holo the Wise Wolf,More apples and clever trades on every road.,high,9.8,Spice and Wolf
Escanor,"Dear God, please keep the WiFi stable during boss fights.",high,10,The Seven Deadly Sins
Shiroe,Please let strategy and wisdom protect my guild.,,8.1,Log Horizon
Kamui,"Strength to walk my own path, even away from family.",HIGH,,Unknown
Yoko Littner,"Keep everyone safe, and bullets plenty.",high,8.6,Gurren Lagann
Shanks (One Piece),Peace across the seas and laughter for the next generation.,medium,9.4,One Piece
Android 18,"Make my Mondays disappear forever, please.",HIGH,7.4,Dragon Ball
Kakashi Hatake,"May my students surpass me, and may no one ever find out what's under my mask.",medium,7.9,Naruto
Rintarou Okabe,Steins;Gate’s choice should always protect my friends.,medium,8.1,Steins;Gate
Soma Yukihira,Please let me cook dishes that surprise and delight everyone!,medium,,Food Wars
Natsu Dragneel,"Fire in my fists, and friends at my side!",High,9.5,Fairy Tail
Lucy Heartfilia,Please let my rival get stuck in tutorial levels forever.,high,seven,Fairy Tail
Gray Fullbuster,"Strength to stand, even when everything melts away.",High,7,Fairy Tail
Senku Ishigami,Grant me science to rebuild civilization.,High,ten,Dr. Stone
Rika Furude,Please let my friends live happily without repeating tragedies.,HIGH,9.1,Higurashi
Eureka,Peace between humans and Coralians.,high,9,Eureka Seven
Tsunade,"Grant me luck in gambling, and strength to heal my people.",High,seven,Naruto
Shinobu Kocho,Grant me patience for my comrades… and insect poison that works.,high,9.6,Demon Slayer
Euphemia li Britannia,Please let me build a world without hate.,HIGH,9.3,Code Geass
Lelouch Lamperouge,Grant me the power to change the world for Nunnally.,HIGH,,Code Geass
C.C.,Give me more pizza and freedom from contracts.,high,8.7,Code Geass
Kamijo Touma,Please keep my right hand from ruining every good thing.,high,,A Certain Magical Index
Kazuma Satou,Please let me live peacefully with money and comfort… and maybe not die stupidly.,HIGH,8.3,KonoSuba
Aqua,Bless me with worshippers! Or at least beer!,,seven,KonoSuba
Megumi Tadokoro,Please let me find confidence in my cooking.,,7.7,Food Wars
Reigen Arataka,May clients never discover my secrets and always pay on time.,high,7.5,Mob Psycho 100
Mob (Shigeo Kageyama),"Please let me live a normal life, even with this power.",HIGH,8,Mob Psycho 100
Natsu Dragneel,"Fire in my fists, and friends at my side!",High,9.5,Fairy Tail
Nanami Kento,Let me finish work at 6 sharp and keep my students safe.,medium,8.7,Jujutsu Kaisen
Alphonse Elric,"Please give Brother back his body, and let cats follow me home forever.",medium,9.7,Fullmetal Alchemist
